,links,price,vehicle_model,regdate,mileage,motorpower,valorFipe,pricewrtfipe,error
686,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/tucson-gls-automatica-2012-2-dono-1019953344,44900,HYUNDAI 2.0 MPFI GLS 16V 143CV 2WD FLEX 4P AUT,2014,140000,2.0 - 2.9,55562,0.8081062596738778,-0.23570604240424953
700,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/escort-sw-98-1-8-1019949433,6000,FORD ESCORT S.W. GLX 1.8I 16V,1998,160000,1.8,8650,0.6936416184971099,-0.22476794086333263
297,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/kia-bongo-k2500-2013-1013632076,76000,KIA MOTORS BONGO K-2500 2.5 4X2 TB DIESEL,2013,75000,2.0 - 2.9,81418,0.9334545186568081,-0.2224054607140219
313,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/land-rover-discovery-4-diesel-2011-1013802831,80990,LAND ROVER DISCOVERY4 S 2.7 4X4 TDV6 DIESEL AUT.,2011,120000,2.0 - 2.9,98972,0.8183122499292729,-0.2186763009780609
701,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/autos-e-pecas/carros-vans-e-utilitarios/saveiro-supersurf-1019949327,25000,VW - VOLKSWAGEN SAVEIRO SUPER SURF 1.6 MI TOTAL FLEX 8V,2007,84000,1.6,34829,0.7177926440609836,-0.20417693847161178
684,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/citr-en-xsaara-picasso-2007-2008-1019953876,16000,CITROEN XSARA PICASSO EXC./ETOILE 2.0 16V MEC.,2008,188722,2.0 - 2.9,21356,0.7492039707810452,-0.2040069260213716
218,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/peugout-206-presence-1-4-flex-8v-2007-1020163514,11900,PEUGEOT 206 PRESENCE 1.4/ 1.4 FLEX 8V 5P,2007,151000,1.4,14282,0.8332166363254446,-0.20141511902175135
354,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/206-escapade-1020082627,15000,PEUGEOT 206 SW ESCAPADE 1.6 16V FLEX 5P,2008,180,1.6,18167,0.8256729234325976,-0.2006082505607475
159,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/peugeot-206-1020176539,9500,PEUGEOT 206 PRESENCE 1.4/ 1.4 FLEX 8V 3P,2006,10,1.4,12092,0.785643400595435,-0.198900231063741
625,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/uno-mille-1-0-fire-economy-2013-4p-abaixo-fipe-r-26-326-por-r-19-900-1019981473,19900,FIAT UNO MILLE 1.0 FIRE/ F.FLEX/ ECONOMY 4P,2013,99000,1.0,26326,0.7559067081972195,-0.18788900303932698
287,https://rs.olx.com.br/regioes-de-pelotas-rio-grande-e-bage/autos-e-pecas/carros-vans-e-utilitarios/chery-qq-1-0-financia-100-1020107962,17900,CHERY QQ 1.0  ACT FL 12V/1.0 12V FLEX  5P,2015,58000,1.0,24464,0.7316873773708306,-0.18037965193396777
350,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/mini-cooper-countryman-s-all4-1-6-4x4-automatico-2015-mais-novo-anunciado-1005819705,124500,MINI COOPER COUNTRYMAN S ALL4 1.6 AUT.,2015,70000,1.6,139562,0.8920766397730041,-0.17898925528186826
642,https://rs.olx.com.br/regioes-de-santa-maria-uruguaiana-e-cruz-alta/autos-e-pecas/carros-vans-e-utilitarios/silverado-6cc-1999-1003610345,62900,GM - CHEVROLET SILVERADO CONQUEST 4.2 DIESEL TURBO,1999,295000,4.0 ou mais,73619,0.8543990002580856,-0.177890407487291
141,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/fiat-idea-adventure-locker-dualogic-flex-2014-971938935,31990,FIAT IDEA ADV./ ADV.LOCK.DUALOGIC 1.8 FLEX 5P,2014,82669,1.8,42159,0.7587940890438578,-0.17088365961883167
233,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/autos-e-pecas/carros-vans-e-utilitarios/vw-quantum-cl-1-8-96-1020160626,4000,VW - VOLKSWAGEN QUANTUM CLI / CL / C/ CS/ CD/ CG 1.8/2.0,1996,200000,1.8,7714,0.5185377236193933,-0.16938396364000852
561,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/fox-trend-2012-completo-1020007824,29500,VW - VOLKSWAGEN FOX 1.0 MI TOTAL FLEX 8V 3P,2013,81848,1.0,33417,0.8827842116288117,-0.16875523311752272
4,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-astra-sedan-flexp-advantage-2-0-8v-4p-2011-987316850,24990,GM - CHEVROLET ASTRA ADVANTAGE 2.0 MPFI 8V FLEXPOWER 5P,2011,326000,2.0 - 2.9,33836,0.7385624778342593,-0.16813122225165955
461,https://rs.olx.com.br/regioes-de-santa-maria-uruguaiana-e-cruz-alta/autos-e-pecas/carros-vans-e-utilitarios/hb20-2018-1020053492,53000,HYUNDAI HB20 5 ANOS 1.0 FLEX 12V MEC.,2018,70000,1.0,55400,0.9566787003610109,-0.16683292349144696
39,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/autos-e-pecas/carros-vans-e-utilitarios/astra-advantage-2-0-completo-938242492,29500,GM - CHEVROLET ASTRA SED. ADVANT. 2.0 8V MPFI FLEXP. 4P,2011,108000,2.0 - 2.9,33316,0.8854604394285028,-0.16532154763659723
160,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/clio-2008-completo-1020176268,17500,RENAULT CLIO AUTH. /AIR HI-FLEX 1.6 16V 5P,2008,100000,1.6,20916,0.8366800535475234,-0.16516474573404727
423,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/renault-kwid-1020066280,44000,RENAULT KWID OUTSIDER 1.0 FLEX 12V 5P MEC.,2020,39000,1.0,51778,0.8497817605933021,-0.1630479727066173
417,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/206-completo-1020067903,15500,PEUGEOT 206 SENSATION 1.4 FLEX 8V 5P,2010,138200,1.4,18450,0.8401084010840109,-0.16268801489765183
651,https://rs.olx.com.br/regioes-de-pelotas-rio-grande-e-bage/autos-e-pecas/carros-vans-e-utilitarios/golf-sportline-1-6-mi-total-flex-8v-5p-limited-edition-2012-1019976533,51499,VW - VOLKSWAGEN GOLF SPORTLINE 1.6 MI TOTAL FLEX 8V 4P,2012,135511,1.6,51569,0.9986425953576761,-0.15990463605995897
391,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/autos-e-pecas/carros-vans-e-utilitarios/crossfox-1-6-1020074596,34900,VW - VOLKSWAGEN CROSSFOX 1.6 MI TOTAL FLEX 8V 5P,2009,111111,1.6,31391,1.1117836322512822,-0.1590556785237116
336,https://rs.olx.com.br/regioes-de-pelotas-rio-grande-e-bage/autos-e-pecas/carros-vans-e-utilitarios/citroen-c4-picasso-2-0-aut-2014--repasse-973291596,37900,CITROEN C4 PICASSO/PIC. LA LUNA 2.0 16V  AUT.,2014,1,2.0 - 2.9,43836,0.8645861848708823,-0.1563773008677255
788,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/mercedes-e250-965080758,119000,MERCEDES-BENZ E-250 CGI AVANTGARDE 2.0 TB 211CV AUT.,2014,75000,2.0 - 2.9,133487,0.8914725778540232,-0.15292314270222807
539,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/vectra-expression-2002-8v-1020028279,14500,GM - CHEVROLET VECTRA GLS/EXPRES.2.2/ 2.0 E 2.0 CD 8V,2002,150000,2.0 - 2.9,20089,0.7217880432077256,-0.1528304773225907
203,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/corsa-sedan-c-ar-condicionado-1008466216,15900,GM - CHEVROLET CORSA SED.WIND 1.0/MILLENIUM/CLASSIC VHC,2001,169000,1.0,12714,1.2505899008966495,-0.15010931433937014
330,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-onix-1-0-plus-lt-1018096223,69990,GM - CHEVROLET ONIX SEDAN PLUS LT 1.0 12V TB FLEX MEC.,2021,5800,1.0,78765,0.8885926490192344,-0.14828817542405948
795,https://rs.olx.com.br/regioes-de-pelotas-rio-grande-e-bage/autos-e-pecas/carros-vans-e-utilitarios/astra-2005-sedan-1019909877,22000,GM - CHEVROLET ASTRA ELEGANCE 2.0 MPFI FLEXPOWER 8V 5P,2005,0,2.0 - 2.9,22603,0.9733221253815865,-0.14645432473938613
104,https://rs.olx.com.br/regioes-de-pelotas-rio-grande-e-bage/autos-e-pecas/carros-vans-e-utilitarios/carro-1020184338,19000,GM - CHEVROLET PRISMA SED. JOY 1.4 8V ECONOFLEX 4P,2008,141888,1.4,22361,0.8496936630741022,-0.14311520355943652
263,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/ranger-2001-1020116138,39000,FORD RANGER XLT 2.5 4X4 CE TB DIESEL,2001,210000,3.0 - 3.9,42035,0.9277982633519686,-0.14213934104744075
217,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/renault-symbol-1-6-modelo-2013-abaixo-da-fipe-com-ipva-pago-1005628890,22200,RENAULT SYMBOL PRIVILÈGE HI-FLEX 1.6 16V 4P,2013,145000,1.6,27301,0.8131570272151203,-0.13971805169211327
212,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/fiat-punto-4p-2008-971938735,20990,FIAT PUNTO 1.4 FIRE FLEX 8V 5P,2008,130000,1.4,26792,0.7834428187518663,-0.13855219499076665
584,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/palio-fire-2009-1020003048,17200,FIAT PALIO 1.0 CELEBR. ECONOMY F.FLEX 8V 2P,2009,100000,1.0,21742,0.7910955753840493,-0.1363830051909769
414,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/vendo-gol-g4-1-0-2014-4-pneus-zero-ipva-22-pago-990779913,24900,VW - VOLKSWAGEN GOL (NOVO) 1.0 MI TOTAL FLEX 8V 2P,2014,180000,1.0,28865,0.8626364108782262,-0.13463825899056103
525,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/fiesta-1-0-2011-top-completo-financio-100-sem-entrada-1007472392,21990,FORD FIESTA 1.0 8V FLEX/CLASS 1.0 8V FLEX 5P,2011,0,1.0,25508,0.8620824839266112,-0.13288781949924233
314,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/renegade-longitude-flex-4x2-at-1-8-4p-998519178,100990,JEEP RENEGADE LONGITUDE 1.8 4X2 FLEX 16V AUT.,2021,56649,1.8,111713,0.9040129617860052,-0.13080489264296136
515,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/saveiro-1-6-cs-total-flex-8v-2014-flex-1020042115,39990,VW - VOLKSWAGEN SAVEIRO 1.6 MI/ 1.6 MI TOTAL FLEX 8V,2014,86145,1.6,44112,0.9065560391730142,-0.12718376215689464
25,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/tiggo-2-2019-look-1-5-branco-968361846,60000,CHERY TIGGO 2 LOOK 1.5 16V FLEX MEC. 5P,2019,54000,1.5,65437,0.9169124501428855,-0.12338512815965152
617,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/uno-mille-economic-1-0-2p-1019982792,17500,FIAT UNO MILLE 1.0 FIRE/ F.FLEX/ ECONOMY 2P,2013,179436,1.0,21988,0.7958886665453884,-0.12267209049837335
610,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/montana-sport-1-4-2010-1019984575,33000,GM - CHEVROLET MONTANA SPORT 1.4 ECONOFLEX 8V 2P,2010,133000,1.4,35934,0.9183503088996493,-0.12087863274644339
291,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/peugeot-207-1-4-xr-sport-2011-1020107504,19100,PEUGEOT 207 XR SPORT 1.4 FLEX 8V 5P,2011,145,1.4,23040,0.8289930555555556,-0.1203742562994784
454,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/pajero-sport-2008-manual-diesel-999243869,63500,MITSUBISHI PAJERO SPORT HPE 2.5 4X4 DIESEL MEC.,2008,0,2.0 - 2.9,59297,1.0708804829923941,-0.11919079228870433
587,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/ford-ka-2013-flex-1019992262,21500,FORD KA 1.0 8V/1.0 8V ST FLEX 3P,2013,111111,1.0,25126,0.8556873358274297,-0.11821188924650539
256,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/versa-1-0-1005225412,46900,NISSAN VERSA 1.0 12V FLEXSTART 4P MEC.,2019,150000,1.0,52850,0.8874172185430463,-0.11818770047788718
273,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/voyage-confortline-1-6-completo-gnv-1020113291,29510,VW - VOLKSWAGEN VOYAGE I MOTION COMF/HGHLI.1.6 T.FLEX 8V,2011,118000,1.6,33741,0.8746035979965028,-0.11751440817261716
88,https://rs.olx.com.br/regioes-de-pelotas-rio-grande-e-bage/autos-e-pecas/carros-vans-e-utilitarios/palio-1-0-fire-8v-flex-abaixo-da-fipe-1017665380,15500,FIAT PALIO 1.0/ TROFEO 1.0 FIRE/ FIRE FLEX 2P,2006,120000,1.0,17131,0.9047924814663476,-0.11716554179623373
110,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/mercedes-c-180-1-6-4p-1013044358,185900,MERCEDES-BENZ C-180 CGI COUPE AVANT. 1.6 TB 16V AUT.,2019,43727,1.6,199888,0.9300208116545265,-0.11618925332843077
735,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/virtus-2019-2020-1-0-200-tsi-comfortline-automatico-999225480,82990,VW - VOLKSWAGEN VIRTUS COMFORT. 200 TSI 1.0 FLEX 12V AUT,2020,59288,1.0,94235,0.8806706637661166,-0.11331629725195713
229,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/dodge-journey-sxt-7-lugares-torro-1018473551,39500,DODGE JOURNEY SXT 2.7 V6 185CV AUT.,2010,108000,2.0 - 2.9,43693,0.9040349712768636,-0.11316925182183724
588,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/palio-elx-1-0-flex-2010-1016010041,23900,FIAT PALIO ELX 1.0 FIRE/30 ANOS F. FLEX 8V 4P,2010,92000,1.0,25575,0.9345063538611925,-0.11275621284783865
384,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/vectra-collection-2011-1020077231,39900,GM - CHEVROLET VECTRA COLLECTION 2.0 FLEXPOWER 8V AUT.,2011,164421,2.0 - 2.9,43683,0.9133988050271272,-0.1118314879403216
448,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/peugeot-208-active-1-5-8v-1020057018,37990,PEUGEOT 208 ACTIVE/ACTIVE PACK 1.5 FLEX 8V 5P,2014,80,1.5,38870,0.9773604322099305,-0.11176348962165572
611,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/journey-2-7-rt-7-lugares-com-teto-a-mais-top-1002769154,54990,DODGE JOURNEY RT 2.7 V6 185CV AUT.,2011,75000,2.0 - 2.9,59519,0.9239066516574539,-0.11071259852025106
47,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/honda-civic-lxs-2013-1018778872,56000,HONDA CIVIC SEDAN LXS 1.8/1.8 FLEX 16V AUT. 4P,2013,172000,1.8,65375,0.8565965583173997,-0.11050868486725118
473,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/tcross-1-0-2022-1020051932,112900,VW - VOLKSWAGEN T-CROSS 1.0 TSI FLEX 12V 5P AUT.,2022,11300,1.0,121765,0.9271958280294009,-0.10916039815264356
653,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/mercedes-benz-gle-400-coupe-night-1005611500,319800,MERCEDES-BENZ GLE-400 NIGHT COUPE 3.0 V6 333CV AUT.,2016,67000,3.0 - 3.9,349962,0.9138134997514016,-0.10888144893506913
807,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/fox-2010-completo-aceito-cartao-18x-1-863-00-1019908429,27500,VW - VOLKSWAGEN FOX PLUS 1.0MI/ 1.0MI TOTAL FLEX 8V 4P,2010,135000,1.0,29313,0.938150308736738,-0.10772782168162198
268,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/celta-lt-1-0-branco-2015-completo-novissimo-1002668973,31990,GM - CHEVROLET CELTA SPIRIT/ LT 1.0 MPFI 8V FLEXP. 5P,2015,112000,1.0,34859,0.9176970079462979,-0.10746588523853473
724,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hb20s-2015-2015-1-6-comfort-plus-16v-flex-4p-manual-961794217,54990,HYUNDAI HB20S C.PLUS/C.STYLE 1.6 FLEX 16V MEC.4P,2015,72000,1.6,55480,0.9911679884643114,-0.10593789665517317
436,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/sandero-stepway-1-6-2018--abaixo-da-fipe-1008797926,50900,RENAULT SANDERO STEPWAY FLEX 1.6 16V 5P,2018,99000,1.6,55266,0.9210002533203054,-0.1056796258898316
357,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/ford-focus-1-8-1020082261,13800,FORD FOCUS 1.8 16V 5P,2001,100000,1.8,13876,0.994522917267224,-0.10529501652738216
145,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/renault-sandero-exp1016v-2010-1017233128,22990,RENAULT SANDERO EXPRESSION HI-FLEX 1.0 16V 5P,2010,185968,1.0,26197,0.8775814024506623,-0.10505889970656801
674,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/t-cross-2020-2021-1-4-250-tsi-total-flex-highline-automatico-1000073895,130390,VW - VOLKSWAGEN T-CROSS HIGHLINE 1.4 TSI FLEX 16V 5P AUT,2021,67906,1.4,144925,0.8997067448680351,-0.10504710208726009
73,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/ford-ka-se-1-0-flex-4p-1017708322,52900,FORD KA 1.0 SE 12V FLEX 4P MANUAL,2019,75000,1.0,56684,0.9332439489097453,-0.10490984191918273
514,https://rs.olx.com.br/regioes-de-santa-maria-uruguaiana-e-cruz-alta/autos-e-pecas/carros-vans-e-utilitarios/ford-f-250-xlt-998797914,195000,FORD F-250 XLT 3.9 4X4 CD TB DIESEL,2011,271565,3.0 - 3.9,204709,0.9525716993390618,-0.1040787103532883
401,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/abaixo-da-fipe-volvo-xc60-t6-3-0-awd-987139636,55000,VOLVO XC 60 3.0 AWD 5P,2011,132000,3.0 - 3.9,63229,0.8698540226794667,-0.10360050460496295
764,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/kia-sorento-ex3-gl-2-4-16v-2013-958967246,64990,KIA MOTORS SORENTO 2.4 16V 4X2 AUT.,2013,1111,2.0 - 2.9,67025,0.9696381947034689,-0.10231295549385644
466,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/gol-g6-trend-1-0-modelo-2013-1020052935,29500,VW - VOLKSWAGEN GOL (NOVO) 1.0 MI TOTAL FLEX 8V 4P,2013,160000,1.0,32124,0.9183165234715478,-0.10035586615961467
38,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/autos-e-pecas/carros-vans-e-utilitarios/optima-ex-2-4-at-lindissimo-984209624,69900,KIA MOTORS OPTIMA 2.4 16V 180CV AUT.,2013,78000,2.0 - 2.9,66705,1.0478974589610974,-0.1001912318913063
74,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/megane-sedan-dynamique-1020188170,20000,RENAULT MEGANE SEDAN DYNAMIQUE 2.0 16V MEC.,2008,173000,2.0 - 2.9,22107,0.9046908219116117,-0.09900406985008314
